oa11cd,all,w,p_w,w_b,p_w_b,w_i,p_w_i,w_g,p_w_g,w_o,p_w_o,m,p_m,m_wbc,p_m_wbc,m_wba,p_m_wba,m_w_a,p_m_w_a,m_o,p_m_o,a,p_a,a_i,p_a_i,a_p,p_a_p,a_b,p_a_b,a_c,p_a_c,a_o,p_a_o,b,p_b,b_a,p_b_a,b_c,p_b_c,b_o,p_b_o,o,p_o,o_a,p_o_a,o_o,p_o_o
E00068657,413,359,86.9,345,83.5,4,1,0,0,10,2.4,11,2.7,9,2.2,0,0,1,0.2,1,0.2,25,6.1,16,3.9,6,1.5,0,0,0,0,3,0.7,18,4.4,12,2.9,3,0.7,3,0.7,0,0,0,0,0,0
E00068658,359,248,69.1,222,61.8,4,1.1,0,0,22,6.1,25,7,17,4.7,3,0.8,4,1.1,1,0.3,50,13.9,34,9.5,1,0.3,0,0,0,0,15,4.2,35,9.7,29,8.1,4,1.1,2,0.6,1,0.3,0,0,1,0.3
E00068659,334,273,81.7,241,72.2,2,0.6,2,0.6,28,8.4,12,3.6,1,0.3,6,1.8,3,0.9,2,0.6,28,8.4,26,7.8,1,0.3,0,0,0,0,1,0.3,6,1.8,6,1.8,0,0,0,0,15,4.5,3,0.9,12,3.6
E00068660,280,127,45.4,109,38.9,3,1.1,0,0,15,5.4,6,2.1,6,2.1,0,0,0,0,0,0,125,44.6,112,40,0,0,0,0,0,0,13,4.6,15,5.4,8,2.9,6,2.1,1,0.4,7,2.5,1,0.4,6,2.1
E00068661,320,225,70.3,194,60.6,6,1.9,0,0,25,7.8,27,8.4,20,6.2,0,0,6,1.9,1,0.3,52,16.2,24,7.5,17,5.3,3,0.9,1,0.3,7,2.2,8,2.5,2,0.6,6,1.9,0,0,8,2.5,0,0,8,2.5
E00068662,338,212,62.7,204,60.4,4,1.2,0,0,4,1.2,12,3.6,1,0.3,3,0.9,2,0.6,6,1.8,106,31.4,82,24.3,6,1.8,0,0,1,0.3,17,5,8,2.4,1,0.3,7,2.1,0,0,0,0,0,0,0,0
E00068663,359,174,48.5,145,40.4,2,0.6,0,0,27,7.5,2,0.6,0,0,0,0,2,0.6,0,0,159,44.3,125,34.8,4,1.1,0,0,2,0.6,28,7.8,16,4.5,8,2.2,8,2.2,0,0,8,2.2,0,0,8,2.2
E00068664,278,210,75.5,200,71.9,3,1.1,0,0,7,2.5,12,4.3,9,3.2,0,0,3,1.1,0,0,33,11.9,25,9,0,0,0,0,0,0,8,2.9,23,8.3,17,6.1,5,1.8,1,0.4,0,0,0,0,0,0
E00068665,382,296,77.5,280,73.3,4,1,0,0,12,3.1,13,3.4,8,2.1,1,0.3,1,0.3,3,0.8,34,8.9,22,5.8,1,0.3,0,0,5,1.3,6,1.6,38,9.9,27,7.1,0,0,11,2.9,1,0.3,1,0.3,0,0
E00068666,324,268,82.7,248,76.5,4,1.2,0,0,16,4.9,6,1.9,0,0,0,0,4,1.2,2,0.6,29,9,12,3.7,0,0,0,0,10,3.1,7,2.2,13,4,9,2.8,0,0,4,1.2,8,2.5,0,0,8,2.5
E00068667,288,231,80.2,213,74,1,0.3,2,0.7,15,5.2,6,2.1,3,1,0,0,0,0,3,1,18,6.2,1,0.3,0,0,0,0,11,3.8,6,2.1,20,6.9,14,4.9,0,0,6,2.1,13,4.5,1,0.3,12,4.2
E00068668,341,291,85.3,270,79.2,1,0.3,3,0.9,17,5,12,3.5,3,0.9,0,0,4,1.2,5,1.5,14,4.1,11,3.2,2,0.6,0,0,0,0,1,0.3,24,7,23,6.7,1,0.3,0,0,0,0,0,0,0,0
E00068669,343,211,61.5,179,52.2,4,1.2,0,0,28,8.2,19,5.5,12,3.5,4,1.2,0,0,3,0.9,47,13.7,21,6.1,3,0.9,0,0,9,2.6,14,4.1,54,15.7,35,10.2,12,3.5,7,2,12,3.5,3,0.9,9,2.6
E00068670,336,295,87.8,283,84.2,2,0.6,0,0,10,3,12,3.6,9,2.7,1,0.3,0,0,2,0.6,15,4.5,8,2.4,0,0,0,0,0,0,7,2.1,12,3.6,7,2.1,4,1.2,1,0.3,2,0.6,1,0.3,1,0.3
E00068671,279,183,65.6,175,62.7,4,1.4,0,0,4,1.4,23,8.2,15,5.4,0,0,3,1.1,5,1.8,35,12.5,22,7.9,6,2.2,0,0,1,0.4,6,2.2,30,10.8,15,5.4,11,3.9,4,1.4,8,2.9,2,0.7,6,2.2
E00068672,343,268,78.1,254,74.1,3,0.9,0,0,11,3.2,15,4.4,5,1.5,4,1.2,6,1.7,0,0,19,5.5,5,1.5,0,0,0,0,12,3.5,2,0.6,39,11.4,35,10.2,0,0,4,1.2,2,0.6,1,0.3,1,0.3
